t_minus_t0_M,NRHybSur3dq8_CCE_energy_radiated_over_M,SEOBNRv5EHM_energy_radiated_over_M,NRHybSur3dq8_CCE_angular_momentum_z_radiated_over_M2,SEOBNRv5EHM_angular_momentum_z_radiated_over_M2,NRHybSur3dq8_CCE_planar_momentum_over_M,SEOBNRv5EHM_planar_momentum_over_M
51040.0,1.1933019125428101e-05,1.1931071605498759e-05,0.006459966705200365,0.006458893727742665,1.5420699442200223e-10,1.5463022926772477e-10
51279.0,1.1989927700597746e-05,1.1987970828612793e-05,0.006490604959744281,0.006489526853372572,1.6732646389688334e-09,1.6734077844549298e-09
51940.0,1.214737030025482e-05,1.2145387618311709e-05,0.006575360088225448,0.006574267812674257,5.328613782975684e-09,5.32746606125735e-09
52163.0,1.2200503297406445e-05,1.2198511909562031e-05,0.006603960097846882,0.0066028630410192015,6.173129358911404e-09,6.171758366822114e-09
52840.0,1.2361860889022925e-05,1.2359843060059968e-05,0.006690805854602623,0.006689694274045351,7.031487300257881e-09,7.029324917740065e-09
53047.0,1.2411213495043811e-05,1.2409187553535227e-05,0.006717365808086335,0.00671624977538582,6.74343979974454e-09,6.741500767259847e-09
53740.0,1.257649126497319e-05,1.2574438106152908e-05,0.006806304128927593,0.0068051731689965245,4.0990640877879e-09,4.097293159955869e-09
53931.0,1.2622058610625905e-05,1.2619997913135513e-05,0.006830822191956166,0.006829687104578441,3.0155683475066175e-09,3.014184298641479e-09
54620.0,1.278648741713169e-05,1.278439947686584e-05,0.006919286585181198,0.006918136597745214,1.416557463980686e-09,1.4168062618254928e-09
54815.0,1.283303877791913e-05,1.2830943099761766e-05,0.006944329271737106,0.006943175059316465,2.6426276207796783e-09,2.6425637199275494e-09
55520.0,1.3001394641165172e-05,1.299927101054664e-05,0.007034888779186068,0.007033719305249584,6.101402789864141e-09,6.099942036542653e-09
55699.0,1.3044153987038311e-05,1.3042023265380946e-05,0.007057887034827227,0.007056713688185582,6.61414681084352e-09,6.6124846048062475e-09
56420.0,1.3216441821370353e-05,1.321428262967031e-05,0.007150543512986303,0.007149354594654668,6.7644366051243454e-09,6.762215671904114e-09
56584.0,1.3255643283642508e-05,1.3253477628972682e-05,0.007171624040286749,0.007170431582760398,6.364711164340233e-09,6.362683993810402e-09
57320.0,1.3431629079774986e-05,1.342943450869105e-05,0.007266250839115681,0.007265042521973243,2.9616664541268337e-09,2.9601332379854816e-09
57468.0,1.3467028866093138e-05,1.3464828476767099e-05,0.007285283310092194,0.0072840718009147725,2.050928249466223e-09,2.0497105216463857e-09
58220.0,1.364695669276235e-05,1.36447267643603e-05,0.007382010842493752,0.007380783120201434,2.8052091401536426e-09,2.805045615705237e-09
